ERR3579673,Negative distance proportion based on edit distance,DNA damage,,ERR3579674,Negative distance proportion based on edit distance,DNA damage,,ERR3579688,Negative distance proportion based on edit distance,DNA damage,,ERR3579745,Negative distance proportion based on edit distance,DNA damage,,ERR3579746,Negative distance proportion based on edit distance,DNA damage,,ERR3579747,Negative distance proportion based on edit distance,DNA damage,,ERR3579748,Negative distance proportion based on edit distance,DNA damage,,ERR3579753,Negative distance proportion based on edit distance,DNA damage,,ERR3579827,Negative distance proportion based on edit distance,DNA damage,,ERR3678727,Negative distance proportion based on edit distance,DNA damage,,,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,single-stranded DNA-binding protein,1,No,,,50S ribosomal protein L35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50S ribosomal protein L35,1,No,,,ribonucleotide-diphosphate reductase subunit beta
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ribonucleotide-diphosphate reductase subunit beta,1,No,,,30S ribosomal protein S1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30S ribosomal protein S1,1,No,,,acetyl-CoA carboxylase biotin carboxylase subunit
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acetyl-CoA carboxylase biotin carboxylase subunit,1,No,,,50S ribosomal protein L3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50S ribosomal protein L3,1,No,,,30S ribosomal protein S13 RpsM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30S ribosomal protein S13 RpsM,1,No,,,30S ribosomal protein S2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30S ribosomal protein S2,1,No,,,hypothetical protein
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hypothetical protein,1,No,,,oligopeptide transporter
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oligopeptide transporter,1,No,,,50S ribosomal protein L19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50S ribosomal protein L19,1,No,,,50S ribosomal protein L15 RplO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50S ribosomal protein L15 RplO,1,No,,,50S ribosomal protein L34
